witness,operation,level
E,Adición,Semántica
G,Inmutación,Ortográfica
I,Inmutación,Ortográfica
C,Inmutación,Ortográfica
D,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Ortográfica
G,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Inmutación,Ortográfica
D,Adición,Semántica
B,Omisión,Semántica
H,Omisión,Semántica
B,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
H,Adición,Semántica
B,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Semántica
H,Inmutación,Ortográfica
B,Inmutación,Ortográfica
E,Omisión,Semántica
F,Omisión,Semántica
H,Inmutación,Ortográfica
I,Omisión,Semántica
B,Inmutación,Ortográfica
C,Inmutación,Ortográfica
D,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Inmutación,Ortográfica
B,Inmutación,Ortográfica
C,Inmutación,Ortográfica
D,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Inmutación,Ortográfica
B,Inmutación,Ortográfica
C,Inmutación,Ortográfica
D,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Inmutación,Ortográfica
B,Omisión,Semántica
E,Omisión,Semántica
F,Omisión,Semántica
H,Omisión,Semántica
I,Omisión,Semántica
B,Inmutación,Ortográfica
C,Inmutación,Ortográfica
D,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Ortográfica
G,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Inmutación,Ortográfica
F,Adición,Semántica
B,Inmutación,Ortográfica
C,Inmutación,Ortográfica
D,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Inmutación,Ortográfica
F,Adición,Semántica
B,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
H,Adición,Semántica
B,Inmutación,Ortográfica
D,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Semántica
G,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Inmutación,Ortográfica
B,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
H,Adición,Semántica
E,Inmutación,Ortográfica
B,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
H,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
B,Omisión,Semántica
H,Omisión,Semántica
E,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
I,Adición,Semántica
H,Inmutación,Semántica
B,Inmutación,Ortográfica
H,Inmutación,Ortográfica
F,Omisión,Semántica
B,Adición,Semántica
H,Adición,Semántica
B,Inmutación,Semántica
H,Inmutación,Semántica
B,Inmutación,Ortográfica
C,Inmutación,Ortográfica
D,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Inmutación,Ortográfica
B,Inmutación,Ortográfica
C,Inmutación,Ortográfica
D,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Inmutación,Ortográfica
H,Inmutación,Morfológica
B,Adición,Semántica
E,Adición,Semántica
H,Adición,Semántica
F,Adición,Semántica
B,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
H,Adición,Semántica
D,Inmutación,Ortográfica
H,Inmutación,Ortográfica
B,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Inmutación,Ortográfica
B,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
H,Adición,Semántica
B,Adición,Semántica
C,Adición,Semántica
D,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
G,Adición,Semántica
H,Adición,Semántica
I,Adición,Semántica
B,Inmutación,Ortográfica
C,Inmutación,Ortográfica
D,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Ortográfica
G,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Inmutación,Ortográfica
I,Inmutación,Ortográfica
F,Omisión,Semántica
E,Adición,Semántica
I,Adición,Semántica
E,Adición,Semántica
I,Adición,Semántica
B,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
H,Adición,Semántica
B,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
H,Adición,Semántica
B,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
H,Adición,Semántica
B,Inmutación,Ortográfica
C,Inmutación,Ortográfica
D,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Ortográfica
G,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Inmutación,Ortográfica
B,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
H,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
H,Adición,Semántica
B,Inmutación,Ortográfica
C,Inmutación,Ortográfica
B,Inmutación,Ortográfica
B,Inmutación,Ortográfica
C,Inmutación,Ortográfica
D,Inmutación,Ortográfica
E,Inmutación,Ortográfica
F,Inmutación,Ortográfica
G,Inmutación,Ortográfica
H,Inmutación,Ortográfica
I,Omisión,Semántica
C,Inmutación,Semántica
B,Adición,Semántica
E,Adición,Semántica
F,Adición,Semántica
H,Adición,Semántica
B,Adición,Semántica
E,Adición,Semántica
H,Adición,Semántica
